state,year,n_new_dx,n_idu_dx,idu_pct
Arizona,2011,564,56.964,10.1
Arkansas,2011,233,12.116000000000001,5.2
California,2011,5021,281.176,5.6
Colorado,2011,358,21.122000000000003,5.9
Connecticut,2011,345,38.98500000000001,11.3
Delaware,2011,114,9.006,7.9
"Washington, D.C.",2011,629,42.772,6.8
Florida,2011,4472,183.35199999999998,4.1
Georgia,2011,2601,148.257,5.7
Hawaii,2011,80,5.04,6.3
Idaho,2011,35,1.015,2.9
Illinois,2011,1603,112.21,7.0
Indiana,2011,468,14.04,3.0
Iowa,2011,113,3.051,2.7
Kansas,2011,135,10.935,8.1
Kentucky,2011,304,24.016,7.9
Louisiana,2011,1178,89.52799999999999,7.6
Maine,2011,53,6.995999999999999,13.2
Maryland,2011,1394,112.914,8.1
Massachusetts,2011,670,93.8,14.0
Michigan,2011,775,54.25,7.0
Minnesota,2011,290,11.89,4.1
Mississippi,2011,515,22.145,4.3
Missouri,2011,526,24.195999999999998,4.6
Montana,2011,21,3.003,14.3
Nebraska,2011,81,2.025,2.5
Nevada,2011,377,22.997,6.1
New Hampshire,2011,41,2.009,4.9
New Jersey,2011,1152,142.848,12.4
New Mexico,2011,132,17.028,12.9
New York,2011,3751,333.839,8.9
North Carolina,2011,1409,92.994,6.6
North Dakota,2011,13,0.0,0.0
Ohio,2011,1036,61.124,5.9
Oklahoma,2011,310,32.86,10.6
Oregon,2011,238,19.992,8.4
Pennsylvania,2011,1355,132.79000000000002,9.8
Rhode Island,2011,95,3.99,4.2
South Carolina,2011,733,36.65,5.0
South Dakota,2011,19,4.997,26.3
Tennessee,2011,833,36.652,4.4
Texas,2011,4260,264.12,6.2
Utah,2011,108,7.02,6.5
Vermont,2011,13,2.0020000000000002,15.4
Virginia,2011,887,34.592999999999996,3.9
Washington,2011,478,35.85,7.5
West Virginia,2011,81,14.985,18.5
Wisconsin,2011,238,19.992,8.4
Wyoming,2011,15,0.0,0.0
Puerto Rico,2011,729,136.32299999999998,18.7
Alabama,2012,658,25.004,3.8
Alaska,2012,28,1.9879999999999998,7.1
Arizona,2012,621,55.89,9.0
Arkansas,2012,249,12.948,5.2
California,2012,5011,245.53900000000002,4.9
Colorado,2012,367,16.881999999999998,4.6
Connecticut,2012,286,38.038000000000004,13.3
Delaware,2012,136,8.024000000000001,5.9
"Washington, D.C.",2012,551,35.815,6.5
