stratum,pre_covid_slope,pre_covid_slope_se,pre_covid_slope_p,pre_covid_r2,baseline_2019,cum_deficit_2020_2022,cum_deficit_ci_lo,cum_deficit_ci_hi,cum_deficit_pct_of_baseline,deficit_2023,statistically_significant
A_msa,-5.885714285714285,3.6287963934762337,0.18013377190589072,0.3967464472700075,624.0,88.54285714285652,-100.78965517237611,197.36363636365604,14.18956043956034,-39.25714285714275,False
B_vuln_rural,13.6,3.8032567497819425,0.023253078775211575,0.761719485409476,99.0,184.60000000000946,74.00000000005566,294.3125000000233,186.46464646465603,107.06666666666933,True
C_other,33.371428571428574,10.733405163067212,0.03590251731391534,0.7073160277902594,745.0,360.5142857142637,18.374999999985448,527.7317073169252,48.39117929050519,225.24761904761544,True
