Scenario,Omega*_min,Omega*_max,defl_min,defl_max,B_IRR_min,B_IRR_max,atten_max_pct
Primary,135.87526893501123,159.19009594884824,8.675102536271616,27.322655076212165,0.9693952328013558,0.9993632430669462,3.0604767198644245
alpha=1.0,139.36608570611477,158.3130961763498,9.277124999999998,24.13350000000001,0.9580254806566204,1.0015914403763808,4.197451934337959
alpha=1.5,130.15963926427176,160.41612352418232,7.84452098664552,32.913705798420814,0.9885150749187115,0.9962972408045732,1.148492508128851
γ_base=3e-4,148.63361072806978,164.44075740995865,5.205061521762966,16.393593045727293,0.9309831642336507,0.9866162637259847,6.901683576634932
γ_base=8e-4,120.37608987204706,151.91407689914922,13.880164058034605,43.71624812193946,1.018793169022312,1.0300052969943194,-1.8793169022311984
sel=1.2×,141.96837620234683,161.77283270930903,6.940082029017303,21.85812406096972,0.9499950743169263,0.9929692991124115,5.000492568307369
sel=2.0×,126.80476274131017,155.06404661261786,11.56680338169549,36.43020676828288,1.002613212019048,1.0101114404804559,-0.26132120190480723
r=0.93 fixed,135.87526893501123,159.19009594884824,8.675102536271616,27.322655076212165,0.9964719255627229,1.0676402643840543,0.35280744372770956
r=0.85 fixed,135.87526893501123,159.19009594884824,8.675102536271616,27.322655076212165,0.9551673897881022,1.023385745653109,4.483261021189778
r steep coupling,135.87526893501123,159.19009594884824,8.675102536271616,27.322655076212165,0.9313363466927429,1.0111350357627131,6.86636533072571
